City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,port macquarie,-31.4333,152.9167,65.89,72,1,3.89,AU,1675543807
246,provideniya,64.3833,-173.3,-3.46,89,100,10.71,RU,1675543849
247,kortkeros,61.8106,51.5806,15.8,100,100,1.32,RU,1675543849
248,jasdan,22.0333,71.2,68.25,23,74,7.87,IN,1675543850
249,naze,28.3667,129.4833,56.32,68,99,10.04,JP,1675543806
250,general roca,-39.0333,-67.5833,101.62,12,0,11.45,AR,1675543851
251,tautira,-17.7333,-149.15,79.39,78,60,14.34,PF,1675543851
252,avera,33.194,-82.5271,52.38,35,35,7.0,US,1675543852
253,yar-sale,66.8333,70.8333,12.2,96,100,4.7,RU,1675543853
254,cabo san lucas,22.8909,-109.9124,81.61,39,9,7.02,MX,1675543621
255,college,64.8569,-147.8028,10.35,78,75,3.44,US,1675543853
256,mandalgovi,45.7625,106.2708,11.41,49,100,7.61,MN,1675543854
257,winona,43.9666,-91.7668,31.44,59,0,5.75,US,1675543854
258,ahuimanu,21.4447,-157.8378,71.2,92,100,10.36,US,1675543855
259,coquimbo,-29.9533,-71.3436,73.13,64,0,10.36,CL,1675543855
260,kedrovyy,56.1667,91.8167,-7.19,99,100,1.63,RU,1675543856
261,saint-michel-des-saints,46.6834,-73.9159,-2.7,88,100,6.58,CA,1675543856
262,evanston,42.0411,-87.6901,41.14,60,75,14.97,US,1675543659
263,dongkan,33.9997,119.8308,32.38,76,54,5.32,CN,1675543857
264,rembang,-6.707,111.3498,75.6,91,100,4.56,ID,1675543857
265,darhan,49.4867,105.9228,-12.03,98,22,4.21,MN,1675543858
266,taoudenni,22.6783,-3.9836,61.18,33,100,11.97,ML,1675543858
267,havelock,34.8791,-76.9013,40.95,48,0,12.66,US,1675543859
268,talara,-4.5772,-81.2719,88.56,48,20,11.5,PE,1675543860
269,svetlaya,46.5389,138.3297,8.6,68,49,6.98,RU,1675543860
270,inuvik,68.3499,-133.7218,-26.54,71,20,3.44,CA,1675543820
271,leopoldina,-21.5319,-42.6431,81.45,82,29,4.05,BR,1675543846
272,rosarito,32.3333,-117.0333,71.02,51,35,8.99,MX,1675543861
273,tornio,65.8481,24.1466,5.02,97,100,2.84,FI,1675543862
274,kingaroy,-26.5333,151.8333,68.22,66,67,5.48,AU,1675543864
275,asfi,32.2994,-9.2372,56.91,71,1,3.53,MA,1675543866
276,faanui,-16.4833,-151.75,81.59,71,70,19.13,PF,1675543867
277,rehoboth,-23.3167,17.0833,76.75,38,100,11.03,NA,1675543869
278,bergama,39.1207,27.1805,41.4,94,100,3.31,TR,1675543871
279,santa isabel do rio negro,-0.4139,-65.0192,82.74,75,91,3.65,BR,1675543873
280,princeton,25.5384,-80.4089,75.2,77,100,24.16,US,1675543804
281,isangel,-19.55,169.2667,82.51,94,75,0.0,VU,1675543877
282,coahuayana,18.7333,-103.6833,89.71,32,0,8.72,MX,1675543879
283,mizan teferi,6.9833,35.5833,66.56,50,20,1.86,ET,1675543880
284,kirakira,-10.4544,161.9205,82.04,82,62,4.25,SB,1675543881
285,dikson,73.5069,80.5464,-4.36,98,100,3.38,RU,1675543884
286,saint george,37.1041,-113.5841,59.43,34,0,4.0,US,1675543889
287,tanout,14.9709,8.8879,76.21,15,92,9.6,NE,1675543891
288,iqaluit,63.7506,-68.5145,-32.31,66,20,15.01,CA,1675543886
289,bodden town,19.2833,-81.25,82.92,75,20,12.66,KY,1675543894
290,kaitangata,-46.2817,169.8464,71.58,67,100,5.12,NZ,1675543894
291,mangrol,21.1167,70.1167,69.46,35,12,7.27,IN,1675543895
292,esperance,-33.8667,121.9,63.45,71,0,14.76,AU,1675543895
293,quatre cocos,-20.2078,57.7625,79.09,85,70,9.42,MU,1675543896
294,denpasar,-8.65,115.2167,76.71,100,75,20.71,ID,1675543755
295,acapulco,16.8634,-99.8901,87.62,48,0,6.91,MX,1675543897
296,san juan bautista,-14.0108,-75.7358,84.38,45,49,14.97,PE,1675543897
297,flin flon,54.7682,-101.865,4.84,66,100,6.91,CA,1675543898
298,broome,42.2506,-75.833,20.01,58,100,6.91,US,1675543898
299,khaga,25.7833,81.1167,56.41,51,0,5.95,IN,1675543899
300,izumo,35.3667,132.7667,33.75,74,57,3.15,JP,1675543648
301,port hawkesbury,45.6169,-61.3485,3.58,85,100,28.77,CA,1675543887
302,port moresby,-9.4431,147.1797,76.42,88,40,11.5,PG,1675543779
303,la ronge,55.1001,-105.2842,10.65,67,100,1.14,CA,1675543813
304,cukai,4.25,103.4167,76.95,92,100,6.76,MY,1675543900
305,nikolskoye,59.7035,30.7861,28.29,92,100,7.47,RU,1675543901
306,flinders,-34.5833,150.8552,68.05,64,0,5.99,AU,1675543891
307,qaqortoq,60.7167,-46.0333,24.62,81,100,22.68,GL,1675543901
308,badiraguato,25.3667,-107.5167,85.71,15,3,5.61,MX,1675543902
309,pecos,31.4229,-103.4932,69.3,27,0,3.44,US,1675543627
310,yei,4.095,30.6779,75.96,31,26,2.86,SS,1675543903
311,richards bay,-28.783,32.0377,71.91,90,16,3.15,ZA,1675543903
312,adrar,20.5022,-10.0711,63.0,16,100,10.4,MR,1675543904
313,texarkana,33.4251,-94.0477,57.42,39,0,8.99,US,1675543758
314,cayenne,4.9333,-52.3333,77.04,94,75,8.05,GF,1675543904
315,saint anthony,45.0205,-93.218,30.09,63,0,8.05,US,1675543746
316,byron bay,-28.65,153.6167,75.94,81,100,8.32,AU,1675543905
317,lufilufi,-13.8745,-171.5986,76.78,77,99,16.58,WS,1675543905
318,aklavik,68.2191,-135.0107,-36.4,67,20,3.44,CA,1675543906
319,vostok,46.4856,135.8833,-3.59,97,100,4.5,RU,1675543907
320,rantauprapat,2.1,99.8333,71.74,99,100,2.89,ID,1675543909
321,imbituba,-28.24,-48.6703,76.33,81,38,9.08,BR,1675543909
322,gao,16.6362,1.637,76.87,12,34,11.32,ML,1675543910
323,shingu,33.7333,135.9833,35.67,80,15,7.02,JP,1675543910
324,dunedin,-45.8742,170.5036,68.81,83,100,10.0,NZ,1675543911
325,muisne,0.6,-80.0333,76.03,90,100,8.75,EC,1675543911
326,weiz,47.2167,15.6167,34.12,68,7,7.4,AT,1675543912
327,lithgow,-33.4833,150.15,52.95,65,0,3.94,AU,1675543912
328,hendrina,-26.1588,29.7153,54.73,95,0,7.18,ZA,1675543913
329,sangod,24.9167,76.2833,62.28,35,0,2.04,IN,1675543913
330,chaves,33.3834,-104.4505,57.61,28,0,4.61,US,1675543913
331,vanimo,-2.6741,141.3028,76.42,89,100,3.24,PG,1675543615
332,bagdarin,54.4333,113.6,-11.87,95,53,3.91,RU,1675543914
333,sao gabriel da cachoeira,-0.1303,-67.0892,78.94,93,100,1.07,BR,1675543915
334,funtua,11.5233,7.3081,74.73,15,100,10.56,NG,1675543915
335,ilulissat,69.2167,-51.1,-2.18,78,40,6.91,GL,1675543916
336,statesboro,32.4488,-81.7832,58.53,37,0,4.61,US,1675543917
337,caravelas,-17.7125,-39.2481,79.84,80,5,10.25,BR,1675543913
338,halmaj,48.25,21.0,27.82,72,8,12.48,HU,1675543917
339,roald,62.5833,6.1333,43.72,65,40,14.97,NO,1675543918
340,geraldton,-28.7667,114.6,72.01,88,100,6.91,AU,1675543918
341,koslan,63.4564,48.8989,4.57,99,100,2.17,RU,1675543919
342,olavarria,-36.8927,-60.3225,82.83,29,0,3.89,AR,1675543920
343,nampula,-15.1165,39.2666,76.95,88,20,9.22,MZ,1675543922
344,svetlogorsk,52.6333,29.7333,19.78,92,90,9.84,BY,1675543925
345,xuddur,4.1213,43.8894,74.75,29,11,11.65,SO,1675543930
346,khandbari,27.3747,87.2039,52.23,64,22,3.51,NP,1675543932
347,san cristobal,7.7669,-72.225,78.98,36,13,6.44,VE,1675543801
348,tuatapere,-46.1333,167.6833,67.73,92,100,2.28,NZ,1675543825
349,heiligenhafen,54.3667,10.9833,32.05,81,38,10.47,DE,1675543938
350,lasa,46.6166,10.7002,36.48,83,37,9.31,IT,1675543939
351,kaduna,10.5222,7.4383,77.99,14,95,6.89,NG,1675543672
352,kokopo,-4.352,152.2633,77.65,83,100,3.6,PG,1675543947
353,umea,63.8284,20.2597,10.9,77,0,3.44,SE,1675543948
354,chuy,-33.6971,-53.4616,72.59,66,1,17.31,UY,1675543950
355,beloha,-25.1667,45.05,73.33,83,99,14.25,MG,1675543859
356,auki,-8.7676,160.7034,80.91,85,100,5.21,SB,1675543830
357,tchaourou,8.8865,2.5975,85.91,15,97,4.18,BJ,1675543769
358,port lincoln,-34.7333,135.8667,60.76,78,53,4.36,AU,1675543954
359,tambura,5.6,27.4667,75.43,19,36,5.17,SS,1675543955
360,ancud,-41.8697,-73.8203,69.21,66,52,4.61,CL,1675543956
361,atambua,-9.1061,124.8925,72.55,91,100,1.72,ID,1675543776
362,kabanjahe,3.1001,98.4908,62.28,95,100,1.14,ID,1675543957
363,tilichiki,60.4667,166.1,-18.24,98,42,8.43,RU,1675543784
364,cockburn town,21.4612,-71.1419,80.56,61,40,16.11,TC,1675543957
365,honiara,-9.4333,159.95,80.6,85,97,2.55,SB,1675543958
366,narsaq,60.9167,-46.05,32.22,87,100,17.29,GL,1675543959
